Investigador,Línea,Activa
Yorladys Mayilsen Martínez Aroca,modelamiento de agrocadenas,Si
Yorladys Mayilsen Martínez Aroca,"Teoría y diseño de sistemas sociales complejos,",Si
Yorladys Mayilsen Martínez Aroca,Matemáticas y estadística,Si
Yorladys Mayilsen Martínez Aroca,Desarrollo Regional,Si
Blanca Myriam SALGUERO LONDOÑO,Agricultura ecológica y conservación,Si
Blanca Myriam SALGUERO LONDOÑO,Agroindustrial,Si
Blanca Myriam SALGUERO LONDOÑO,Cultivos vegetales,No
Blanca Myriam SALGUERO LONDOÑO,Ecología y medio ambiente,Si
Blanca Myriam SALGUERO LONDOÑO,Ecología y medio ambiente,Si
Maximiliano Machado Higuera,Sistemas dinámicos,Si
Maximiliano Machado Higuera,Análisis Numérico,Si
Maximiliano Machado Higuera,Ecuaciones diferenciales ordinarias,Si
Maximiliano Machado Higuera,Matemática Aplicada,Si
Edison Humberto Osorio López,Estudio y Diseño teórico de Clústeres Atómicos ,Si
Edison Humberto Osorio López,Analisis fisicoquimicos para analisis de agua (potable y residua),No
Jorge Enrique GARCIA MELO,"Sistemática y filogenia molecular, biogeografía, evolución",Si
Jorge Enrique GARCIA MELO,Fotografía y documentación científica y de la naturaleza,Si
Jorge Enrique GARCIA MELO,Biología molecular de parasitos,No
Jorge Enrique GARCIA MELO,Zoología,No
Jorge Enrique GARCIA MELO,Zoología,Si
Olimpo Jose Garcia Beltran,Química Medicinal,Si
Olimpo Jose Garcia Beltran,Síntesis de heterociclos,Si
Olimpo Jose Garcia Beltran,Productos Naturales,Si
Juan Pablo Echeverry Enciso,Agricultura de alta presición,Si
Juan Pablo Echeverry Enciso,Dinámica electrónica y excitónica de baja energía,Si
Juan Pablo Echeverry Enciso,Propiedades ópticas de nanoestructuras,Si
Hernán Javier   Herrera  Suárez,"Estructura de Bandas, Superficies, Interfaces",Si
Hernán Javier   Herrera  Suárez,Propiedades electrónicas en sistemas de dos dimensiones,Si
Alexander Cortés Soto,Educación y Pedagogía,Si
Alexander Cortés Soto,Estado Solido,Si
Alexander Cortés Soto,Prospectiva y Vigilancia Tecnologica,Si
Alexander Cortés Soto,Materia condensada,Si
Alexander Cortés Soto,Materia condensada,Si
Alexander Cortés Soto,Materia condensada,Si
Luz Patricia Naranjo Riano,Materiales de Avanzada,Si
Luz Patricia Naranjo Riano,Biomateriales,Si
Luz Patricia Naranjo Riano,Nuevos Materiales,Si
Lida Marcela Franco Pérez,BIODIVERSIDAD Y CONSERVACIÓN,Si
Lida Marcela Franco Pérez,ECO FISIOLOGÍA EVOLUTIVA,Si
Lida Marcela Franco Pérez,fisiología Animal,Si
Lida Marcela Franco Pérez,CONSERVACIÓN DE CARNÍVOROS Y MARSUPIALES,Si
Lida Marcela Franco Pérez,"Ecofisiología de la Conservación, Evolución, Ecología y conservación de poblaciones vulnerables, comportamiento animal",Si
Lida Marcela Franco Pérez,ECOLOGÍA CONDUCTUAL,Si
Lida Marcela Franco Pérez,"ECOLOGÍA TRÓFICA, ESTRATEGIAS DE FORRAJEO DE CARNIVOROS",Si
