Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,ISBN,Año,Volumen,Páginas,Palabras,Área
Yorladys Mayilsen Martínez Aroca,Ibagué Imaginada,Libro resultado de investigación,YORLADYS MAYILSEN MARTINEZ AROCA,Colombia,Ediciones Unibague, 978-958-754-325-4,2019,,pags.,"Imaginarios Urbanos,","Ciencias Sociales -- Otras Ciencias Sociales -- Otras Ciencias Sociales,"
Jorge Enrique GARCIA MELO,"Amoyá, río y quebrada ancestral",Libro resultado de investigación,"GLADYS REINOSO FLORES, FRANCISCO ANTONIO VILLA NAVARRO, GIOVANY GUEVARA CARDONA, SERGIO LOSADA PRADO, JORGE ENRIQUE GARCIA MELO",Colombia,Universidad del Tolima,978-958-5569-0,2019,,pags.,,
Jorge Enrique GARCIA MELO,"Hoy se pesca, mañana también",Libro resultado de investigación,"GLADYS REINOSOS FLORES, FRANCISCO ANTONIO VILLA NAVARRO, SERGIO LOSADA PRADO, GIOVANY GUEVARA CARDONA, LEIDY VIVIANA GARCIA HERRERA, JORGE ENRIQUE GARCIA MELO, DIANA CAROLINA MONTOYA OSPINA, JUAN GABRIEL ALBORNOZ GARZON",Colombia,Universidad del Tolima,978-958-8932-34-7,2017,,pags.,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Jorge Enrique GARCIA MELO,"El Tolima, Diversidad En El Corazón De Los Andes Colombianos",Libro resultado de investigación,"GLADYS REINOSO FLORES, JORGE ENRIQUE GARCIA MELO, MAURICIO ALEJANDRO VEJARANO DELGADO, FRANCISCO ANTONIO VILLA NAVARRO, GIOVANY GUEVARA CARDONA, YAIR GUILLERMO MOLINA MARTINEZ, LUIS JOSE GARCIA MELO, EMMA YICEL GALINDO, DERLY CONSTANZA YARA ORTIZ, XIMENA CARRANZA HERNANDEZ, JAIDER PENA, CAROLINA GUTIERREZ, EDWIN ORLANDO LOPEZ DELGADO, YESSICA TATIANA PARRA, KARINA ALEXANDRA GUTIERREZ DIAZ, CLAUDIA LORENA YARA ORTIZ, JESUS MANUEL VASQUEZ RAMOS",Colombia,León Editores,978-958-9243-52-7,2009,1,pags. 280,,
Jorge Enrique GARCIA MELO,Plan de ordenación pesquera de la cuenca del río La Miel,Libro resultado de investigación,"GLADYS REINOSO FLORES, MAURICIO ALEJANDRO VEJARANO DELGADO, JORGE ENRIQUE GARCIA MELO, CLARA PEREZ GALLEGO, LUIS JOSE GARCIA MELO, YESSICA TATIANA PARRA, EDWIN ORLANDO LOPEZ DELGADO, JESUS MANUEL VASQUEZ RAMOS",Colombia,León Gráficas,978-958-9243-70-1,2010,1,pags. 120,,
Jorge Enrique GARCIA MELO,Plan de manejo regional para la conservación del tití gris (Saguinus leucopus) en el departamento del Tolima,Libro resultado de investigación,"EMMA YICEL GALINDO, KARINA ALEXANDRA GUTIERREZ DIAZ, DERLY CONSTANZA YARA ORTIZ, GLADYS REINOSO FLORES, MAURICIO ALEJANDRO VEJARANO DELGADO, JORGE ENRIQUE GARCIA MELO",Colombia,Impresiones Graficas Ltda,978-958-9243-61-9,2009,0,pags. 40,,
Jorge Enrique GARCIA MELO,Plan de manejo regional para la conservación del puma o león de montaña (Puma concolor) en departamento del Tolima.,Libro resultado de investigación,"DERLY CONSTANZA YARA ORTIZ, EMMA YICEL GALINDO, KARINA ALEXANDRA GUTIERREZ DIAZ, GLADYS REINOSO FLORES, MAURICIO ALEJANDRO VEJARANO DELGADO, JORGE ENRIQUE GARCIA MELO",Colombia,Impresiones Graficas Ltda,978-958-9243-60-2,2009,1,pags. 40,,
Jorge Enrique GARCIA MELO,Plan de manejo regional para la conservación de la danta de páramo (Tapirus pinchaque) en departamento del Tolima,Libro resultado de investigación,"KARINA ALEXANDRA GUTIERREZ DIAZ, DERLY CONSTANZA YARA ORTIZ, EMMA YICEL GALINDO, GLADYS REINOSO FLORES, MAURICIO ALEJANDRO VEJARANO DELGADO, JORGE ENRIQUE GARCIA MELO",Colombia,Ediciones Gráficas,978-958-9243-62-6,2009,0,pags. 40,,
Jorge Enrique GARCIA MELO,"Plan de manejo de la ostra de agua dulce Acostaea rivoli del río Opia, Departamento del Tolima.",Libro resultado de investigación,"EDWIN ORLANDO LOPEZ DELGADO, JESUS MANUEL VASQUEZ RAMOS, GLADYS REINOSOS FLORES, MAURICIO ALEJANDRO VEJARANO DELGADO, JORGE ENRIQUE GARCIA MELO",Colombia,Ediciones Gráficas,978-958-9243-63-3,2009,0,pags. 44,,
Jorge Enrique GARCIA MELO,Inspirats Per La Natura 2012,Otro libro publicado,JORGE ENRIQUE GARCIA MELO,España, Associació MontPhoto,9788461612666,2012,1,pags. 152,,
