Investigador,Nombre del producto,Tipo,Autores,Lugar,Año,Palabras,Área,Sectores
Yorladys Mayilsen Martínez Aroca,"Empaque para frutas,",Producción técnica - Diseño Industrial,"YORLADYS MAYILSEN MARTINEZ AROCA, TATIANA HERNANDEZ CIFUENTES, DANIEL LOPERA MOLANO, ANGELA MARIA LOPERA MOLANO, MARLY VIVIANA TAFUR OSORIO", ,2019,,,
Olimpo Jose Garcia Beltran,"MAQUINA DE FATIGA POR CARGA DE FLEXIÓN,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, PAOLA HENOE MEJIA RINCON, DAVID FERNANDO GONZALEZ MORALES, OSCAR ARAQUE DE LOS RIOS, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2018,,"Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,",
Olimpo Jose Garcia Beltran,"MÁQUINA PARA FALLA DE PROBETAS A COMPRESIÓN,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, PAOLA HENOE MEJIA RINCON, DAVID FERNANDO GONZALEZ MORALES, JORGE OLMEDO MONTOYA VALLECILLA, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2019,,"Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería Civil,",
Olimpo Jose Garcia Beltran,"CANAL HIDRÁULICO,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, PAOLA HENOE MEJIA RINCON, DAVID FERNANDO GONZALEZ MORALES, OSCAR ARAQUE DE LOS RIOS, LUIS EDUARDO PENA ROJAS, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2019,,"Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,",
Olimpo Jose Garcia Beltran,"BANCO DE PRUEBAS DE PAVIMENTOS,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ, OSCAR ARAQUE DE LOS RIOS, DAVID FERNANDO GONZALEZ MORALES, PAOLA HENOE MEJIA RINCON, MARIA PAULA SALAZAR SUSUNAGA", Colombia,2018,,"Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería de la Construcción,",
Olimpo Jose Garcia Beltran,"CONDUCTO PARA BANCO HIDRÁULICO,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, PAOLA HENOE MEJIA RINCON, OSCAR ARAQUE DE LOS RIOS, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ, DAVID FERNANDO GONZALEZ MORALES, LUIS EDUARDO PENA ROJAS", Colombia,2018,,"Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,",
Olimpo Jose Garcia Beltran,"MÁQUINA PARA FALLA DE PROBETAS A TRACCIÓN,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, JORGE OLMEDO MONTOYA VALLECILLA, DAVID FERNANDO GONZALEZ MORALES, PAOLA HENOE MEJIA RINCON, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2019,,"Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería Civil,",
Olimpo Jose Garcia Beltran,"MODULO DE ALMACENAMIENTO DE AGUA,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, PAOLA HENOE MEJIA RINCON, LUIS EDUARDO PENA ROJAS, DAVID FERNANDO GONZALEZ MORALES, OSCAR ARAQUE DE LOS RIOS, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2018,,"Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,",
Olimpo Jose Garcia Beltran,"MÓDULO DE AUTOMATIZACIÓN ELÉCTRICA,",Producción técnica - Diseño Industrial,"OLIMPO JOSE GARCIA BELTRAN, OSWALDO LOPEZ SANTOS, DAVID FERNANDO GONZALEZ MORALES, PAOLA HENOE MEJIA RINCON, ALEJANDRO JAVIER GUTIERREZ RODRIGUEZ", Colombia,2018,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control,",
Olimpo Jose Garcia Beltran,"PLANTA DE BIOPRODUCTOS,",Producción técnica - Diseño Industrial,"OSCAR ARAQUE DE LOS RIOS, OLIMPO JOSE GARCIA BELTRAN", Colombia,2020,"Bioproductos,",,
