Investigador,Nombre del producto,Tipo,Autores,Lugar,Año,Palabras,Aréa,Sectores
Yorladys Mayilsen Martínez Aroca,Ibagué imaginada,Por definir,"YORLADYS MAYILSEN MARTINEZ AROCA,"," ,",2018,,,
Blanca Myriam SALGUERO LONDOÑO,"Evaluación de grupos tróficos de nematodos de vida libre en suelos cafeteros en Líbano y Villahermosa, Tolima",Por definir,"BLANCA MYRIAM SALGUERO LONDONO,, NICOL ALEXA GAITAN DIAZ,, LINA PAOLA BERMUDEZ VALDERRAMA,"," ,",2015,,,
Blanca Myriam SALGUERO LONDOÑO,Relación de algunas propiedades biológicas y químicas con la productividad en sistemas cafeteros en Líbano Tolima,Por definir,"GUSTAVO ADOLFO VILLA ROJAS,, BLANCA MYRIAM SALGUERO LONDONO,, CRISTIAN CAMILO GUZMAN CERMENO,"," ,",2017,,,
Blanca Myriam SALGUERO LONDOÑO,"Cambios en algunas propiedades biológicas y químicas del suelo a diferentes profundidades en sistemas cafeteros del Líbano, Tolima.",Por definir,"DANIEL JOSE VARGAS GUIO,, BLANCA MYRIAM SALGUERO LONDONO,, DANIEL ANDRES GUERRA LOZANO,"," ,",2017,,,
Blanca Myriam SALGUERO LONDOÑO,"Evaluación de algunas propiedades Biológicas del suelo en sistemas productivos cafeteros en Líbano, Tolima",Por definir,"CARLOS HERNAN PARRA ORTEGON,, BLANCA MYRIAM SALGUERO LONDONO,, JULIAN CACERES CACERES,"," ,",2016,,,
Blanca Myriam SALGUERO LONDOÑO,"Aplicación de un método agroecológico para la evaluación de sostenibilidad de sistemas productivos de café en el municipio del Líbano, Tolima.",Por definir,"BLANCA MYRIAM SALGUERO LONDONO,, LINA MARIA BRINEZ RODRIGUEZ,, DANIELA CIFUENTES SERRANO,"," ,",2016,,,
Blanca Myriam SALGUERO LONDOÑO,Evaluación de nutrientes y descomposición de hojarasca en fragmentos de Bosque Seco Tropical en el Tolima,Por definir,"BLANCA MYRIAM SALGUERO LONDONO,, ADRIANA LUCIA OLIVEROS LOZADA,, ANDRES FELIPE ROZO BOHORQUEZ,, DIANA CRISTINA CAPERA BETANCOURTH,"," ,",2017,,,
Olimpo Jose Garcia Beltran,Desarrollo de quimiosensores para la detección de iones mercúricos en agua mediante técnicas espectrofotométricas,Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2020,,,
Olimpo Jose Garcia Beltran,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección.,Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2018,,,
Olimpo Jose Garcia Beltran,"Desarrollo de electrodos modificados con óxidos de metales de transición. Posible aplicación como sensores amperométricos de rápida detección de dopamina (DP) ácido ascórbico, (AA) y ácido úrico (AU).",Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2018,,,
Olimpo Jose Garcia Beltran,Aislamiento de alcaloides de Erythrina rubrinervia Kunth con afinidad por receptores nicotínicos de acetilcolina.,Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2015,,,
Olimpo Jose Garcia Beltran,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental,Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2016,,,
Olimpo Jose Garcia Beltran,Desarrollo de sensores electroquímico soportados sobre electrodos modificados aplicados al monitoreo de metales pesados en fuentes naturales de aguas.,Por definir,"OLIMPO JOSE GARCIA BELTRAN,"," ,",2017,,,
