Investigador,Nombre del producto,Tipo,Jurado,Lugar,Programa,Orientado,Año,Palabras,Area,Sectores
Yorladys Mayilsen Martínez Aroca, Imaginarios urbanos de los estudiantes del programa Maestro en Música de El Conservatorio del Tolima frente a Ibagué como ciudad musical, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YORLADYS MAYILSEN MARTINEZ AROCA,", UNIVERSIDAD DE IBAGUÉ, Comunicación Social y Periodismo, Valentina Torres Mejia,Esta información no suele aparecer en los CvLACs,,,
Blanca Myriam SALGUERO LONDOÑO, Determinación de la presencia de Sesquiterpenlactonas en algunas Arvenses de la familia Asteraceae asociadas a Cultivo de Arroz en el Tolima, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BLANCA MYRIAM SALGUERO LONDONO,", UNIVERSIDAD DEL TOLIMA, Departamento de Química, CARLOS ANDRÉS PEREZ Y VÍCTOR BUITRAGO,Esta información no suele aparecer en los CvLACs,"SESQUITERPENLACTONAS,","Ciencias Naturales -- Ciencias Biológicas -- Botánica y Ciencias de las Plantas,","Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal,"
Blanca Myriam SALGUERO LONDOÑO, Plan de Gestión Integral de Residuos Sólidos para la Reserva Natural Orquídeas del Tolima, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BLANCA MYRIAM SALGUERO LONDONO,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Jessica Valero,Esta información no suele aparecer en los CvLACs,,,
Blanca Myriam SALGUERO LONDOÑO, Evaluación de los niveles de presión sonora en cuatro comunas de la ciudad de Ibagué, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BLANCA MYRIAM SALGUERO LONDONO,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Juan Pablo Corredor Grajales,Esta información no suele aparecer en los CvLACs,,,
Blanca Myriam SALGUERO LONDOÑO, DINÁMICA DE ÓXIDOS ATMOFÉRICOS Y SU RELACIÓN CON ÍNDICES DE CALIDAD DE AIRE BASADOS EN COMUNIDADES LIQUÉNICAS EN LA CIUDAD DE IBAGUÉ, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BLANCA MYRIAM SALGUERO LONDONO,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Paola Cano Mendez y Angie Margarita Quiroga Lopez,Esta información no suele aparecer en los CvLACs,,,
Maximiliano Machado Higuera, Errores de los tipos de presentación del concepto de función que representan los estudiantes de la Licenciatura en Matemáticas y Física en la Universidad del Tolima, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DEL TOLIMA, Licenciado en Matemáticas y Física, Flor Alba Lozano,Esta información no suele aparecer en los CvLACs,"Concepto de función,","Ciencias Naturales -- Matemática -- Matemáticas Puras,",
Maximiliano Machado Higuera, Autoevaluacion Parcial del Programa de Matematicas con Enfasis en Estadistica, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DEL TOLIMA, Matematicas con Enfasis en Estadistica, Erica Rocío Gutierrez Soto,Esta información no suele aparecer en los CvLACs,,"Ciencias Naturales -- Matemática -- Estadísticas y Probabilidades (Investigación en Metodologías),",
Maximiliano Machado Higuera," Modelamiento, simulación y control del proceso de extracción de aceite vegetal por estrusión", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DE IBAGUÉ, Maestria en Ingeniería de Control Industrial,,Esta información no suele aparecer en los CvLACs,,,
Maximiliano Machado Higuera, Implementación de un modelo matemático para la determinación de la efusividad térmica del silicio poroso tipo N, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DEL TOLIMA, Matematicas con Enfasis en Estadistica, Paula Andrea Leal Varón,Esta información no suele aparecer en los CvLACs,,,
Maximiliano Machado Higuera, Identificación y Control Aplicado a un Modelo CFD que Describe el Fenómeno de Transferencia de Calor en Flujo Cruzado a un Cilindro Horizontal, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DE IBAGUÉ, Maestría en Ingeniería de Control, Hector F Montealegre,Esta información no suele aparecer en los CvLACs,,,
Maximiliano Machado Higuera, Diseño de un Sistema de Control en Digestión Anaerobia Mediante el Monitoréo de Materia Orgánica por Espectrometría UV-VIS, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MAXIMILIANO MACHADO HIGUERA,", UNIVERSIDAD DE IBAGUÉ, Maestría en Ingeniería de Control, Wilmer Tavera,Esta información no suele aparecer en los CvLACs,,,
Edison Humberto Osorio López, Qumica de especies Inertes: nuevas especies de Metales nobles y gases nobles, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"EDISON HUMBERTO OSORIO LOPEZ,", UNIVERSIDAD DE ANTIOQUIA, Maestria en Ciencias Quimicas, Norberto Moreno Prieto,Esta información no suele aparecer en los CvLACs,,,
Edison Humberto Osorio López, CARACTERIZACIÓN ESTRUCTURAL Y ENERGÉTICA DE HETEROAGREGADOS CARBONATO DE DIETILO ¿ AGUA: EXPLORACIÓN DEL ESPACIO CONFORMACIONAL, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"EDISON HUMBERTO OSORIO LOPEZ,", UNIVERSIDAD DE ANTIOQUIA, Maestria en Ciencias Quimicas, Juan David Ripoll Sepúlveda,Esta información no suele aparecer en los CvLACs,,,
Jorge Enrique GARCIA MELO, ESTUDIO LIMNOLÓGICO DE LA CUENCA DEL RIO COELLO (DEPARTAMENTO DEL TOLIMA)CON ESPECIAL REFERENCIA AL ORDEN EPHEMEROPTERA (CLASE INSECTA), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JORGE ENRIQUE GARCIA MELO,", UNIVERSIDAD DEL TOLIMA, Licenciatura En Biología y Química, ADRIANA MARCEL A TORRES,Esta información no suele aparecer en los CvLACs,,"Ciencias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,","Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas,"
Jorge Enrique GARCIA MELO, Caracterización y evaluación de la avifauna en diferentes unidades de cobertura en el parque ecológico la poma y sus áreas de influencia en un bosque alto andino: con propósitos de conservación., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JORGE ENRIQUE GARCIA MELO,", UNIVERSIDAD DEL TOLIMA, Biología, Diana Lucia Fontanilla,Esta información no suele aparecer en los CvLACs,"Ecología,","Ciencias Naturales -- Ciencias Biológicas -- Ecología,","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.,"
Jorge Enrique GARCIA MELO," Caracterización de la dieta y la ecología alimenticia de un grupo de Choibo o mono araña del Magdalena (Ateles hibridus hybridus, Goeffroyi ¿ St. Hilaire 1829), en un fragmento de bosque de la serranía de las Quinchas, departamento de Boyacá¿.", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JORGE ENRIQUE GARCIA MELO,", UNIVERSIDAD DEL TOLIMA, Biología, Liz Johana Cubillo Díaz,Esta información no suele aparecer en los CvLACs,"Ecología,","Ciencias Naturales -- Ciencias Biológicas -- Ecología,","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible.,"
Jorge Enrique GARCIA MELO, Cararacterización de la Avifauna de la Cuenca del río Prado, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JORGE ENRIQUE GARCIA MELO,", UNIVERSIDAD DEL TOLIMA, Biología, Ronald Maurico Parra,Esta información no suele aparecer en los CvLACs,"Ecología,","Ciencias Naturales -- Ciencias Biológicas -- Ecología,",
Jorge Enrique GARCIA MELO, La educación ambiental como un proyecto pedagógico en la conservación de la fauna Chiroptera en Jardín Botánico San Jorge, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JORGE ENRIQUE GARCIA MELO,", UNIVERSIDAD DEL TOLIMA, Licenciatura, Katherine Ibeth Castañeda y Marin Guiselle Cadena Viña,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran," QUÍMICA, ACTIVIDADA LARVICIDA SOBRE Aedes aegypti Y EVALUACIÓN ANTIOXIDANTE DEL EXTRACTO TOTAL EN ETANOL DE LAS HOJAS SECAS EN Croton", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DE SUCRE, Biología, Carlos Mario Carpio Zabaleta - David Estrada Reyes,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Evaluación de la actividad antifúngica y antibacteriana del extracto etanólico de total de la hoja de Pedilanthus tithymaloides L Poit (Ultimorrial), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DE SUCRE, Biología con énfasis en biotecnología, Rita Marquez,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Química preliminar y evaluación de la actividad hemostática del extracto etanólico de la corteza de la especie Brownea ariza (Leguminosae: Caesalpinioideae), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DE SUCRE, Biología con énfasis en biotecnología, Rita Marquez,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Quimiosensores de mercurio miscibles en agua basados en fenilenvinileno-terpiridina, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA, Maestría en Ciencias Química, FREDY GIOVANY ORTIZ CALDERON,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Química preliminar y evaluación de la actividad antibacterial del extracto etanólico del tallo de Matelea marítima (Asclepiadaceae), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DE SUCRE, Biología con énfasis en biotecnología, Rita Marquez,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Propuesta para la Gestión Integral de proyectos de investigación. Caso aplicado: Universidad de Ibagué, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DE IBAGUÉ, Maestría en Gerencia de la Calidad, Helga Patricia Bermeo,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran," EVALUACIÓN DE LA CASCARILLA DE ARROZ BAJO DIFERENTES TRATAMIENTOS TÉRMICOS, COMO MATERIAL PARA LA REMOCIÓN DE CROMO (VI) Y MERCURIO (II) EN SOLUCIÓN ACUOSA", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DEL TOLIMA, Biología, LUIS FERNANDO RODRIGUEZ HERRERA,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, EVALUACIÓN DEL EFECTO ANTITUMORAL DE LOS FITOFÁRMACOS Opuntia cochenillifera y Anonna muricata EN UN MODELO IN VITRO DE GLIOBLASTOMA MULTIFORME, Jurado/Comisiones evaluadoras de trabajo de grado - Doctorado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DEL TOLIMA, Doctorado en Ciencias Biológicas, Liliana Francis Turner,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran, Evaluación de la actividad antimicrobiana sobre Burkholderia glumae de los fermentos producidos por hongos rizosféricos aislados en cultivos de arroz, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD DEL TOLIMA, Biología, Jonh Jairo Méndez Arteaga,Esta información no suele aparecer en los CvLACs,,,
Olimpo Jose Garcia Beltran," Fitoalexina en lima Tahíti (Citrus latifolia); evaluación de la composición, actividad antifúngica e inducción por elicitores", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"OLIMPO JOSE GARCIA BELTRAN,", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLÍN, Maestría en Ciencias Químicas, Diego Luis Durango Restrepo,Esta información no suele aparecer en los CvLACs,,,
Hernán Javier   Herrera  Suárez, ESTUDIO DE LAS PROPIEDADES MÁGNÉTICAS Y ESTRUCTURALES DE ALEACIONES DE POLVOS Fe50Al50-xBx OBTENIDAS POR ALEAMIENTO MECÁNICO, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"HERNAN JAVIER HERRERA SUAREZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Física, Carolina López,Esta información no suele aparecer en los CvLACs,,,
Hernán Javier   Herrera  Suárez," ¿CALCULO DEL ESTADO BASE DE UN POZO CUÁNTICO SEMICONDUCTOR DE TIPO CAUCHY EN PRESENCIA DE UN CAMPO ELÉCTRICO""", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"HERNAN JAVIER HERRERA SUAREZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Física, Huberney Celemín Sánchez,Esta información no suele aparecer en los CvLACs,,,
Alexander Cortés Soto," Efecto del tiempo de molienda en el tamaño de partícula y en las propiedades estructurales, electrónicas y magnéticas de muestras de aleaciones nano estructuradas en el sistema Fe50Si50, preparadas por aleamiento mecánico y mezcladas con surfactante", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"ALEXANDER CORTES SOTO,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias-Física,  Humberto Bustos Rodríguez,Esta información no suele aparecer en los CvLACs,,,
Alexander Cortés Soto," Estudio de propiedades minerológicas, estructurales y electrónicas de muestras de suelos desorientados cultivados con caña de azúcar en el departamento del valle del cauca y norte del cauca", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"ALEXANDER CORTES SOTO,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias-Física, Fiaban Mauricio Vargas Fontalvo,Esta información no suele aparecer en los CvLACs,,,
Alexander Cortés Soto, Estudio de las propiedades estructurales y magnéticas del sistema Gd0.257Fe 0.743 obtenidas por aleamiento mécanico, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"ALEXANDER CORTES SOTO,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias-Física, Yebrayl Antonio Rojas.,Esta información no suele aparecer en los CvLACs,,,
Alexander Cortés Soto, Estudio de las propiedades de transporte eléctrico de la cobaltita YBaCo4O7 por medio de mediciones de termopotencia, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"ALEXANDER CORTES SOTO,", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLÍN, Ingeniería de Materiales y Proceso, Angélica María Galeano Gaviria,Esta información no suele aparecer en los CvLACs,,"Ingeniería y Tecnología -- Ingeniería de los Materiales -- Cerámicos,",
Alexander Cortés Soto, ESTUDIO DE PROPIEDADES MAGNÉTICAS Y ESTRUCTURALES DE LAS ALEACIONES Nd2Fe14B y Fe93.274Si6.726 PRODUCIDAS POR ALEAMIENTO MECÁNICO CON SURFACTANTE, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"ALEXANDER CORTES SOTO,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias-Física, Juan Pablo Perafán Herrera,Esta información no suele aparecer en los CvLACs,"Espectroscopía Mossbauer,","Ciencias Naturales -- Ciencias Físicas -- Física de la Materia,",
Lida Marcela Franco Pérez, DIVERSIDAD Y ASPECTOS TRÓFICOS DE LOS MURCIÉLAGOS (PHYLLOSTOMIDAE: STENODERMATINI) EN DOS FRAGMENTOS DE BOSQUE SECO TROPICAL EN EL NORTE DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LIDA MARCELA FRANCO PEREZ,",, BIOLOGIA, GLADYS REINOSO FLOREZ,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," DIETA Y PATRONES DE ACTIVIDAD DEL MONO NOCTURNO (Aotus griseimembra) EN UN FRAGMENTO DE BOSQUE SECO TROPICAL EN EL MUNICIPIO DE AMBALEMA, DEPARTAMENTO DE TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LIDA MARCELA FRANCO PEREZ,",, BIOLOGIA, ERWIN PALACIOS,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez, Efecto de la dieta de ácidos grasos en la regulación del sopor en el marsupial Dromiciops gliroides, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD AUSTRAL DE CHILE, Licenciatura en Ciencias Biológicas, Carolina Isabel Contreras,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," DISTRIBUCIÓN, ESTADO DE CONSERVACIÓN Y CALIDAD DE HÁBITAT DE LA NUTRIA Lontra longicaudis EN LAGUNA GUERRERO Y LAGUNA DE BACALAR, ESTADO DE QUINTANA ROO, MÉXICO", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,",, BIOLOGIA, NATALY CASTELBLANCO MARTÍNEZ,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez, DENSIDAD POBLACIONAL DE Saguinus leucopus EN HÁBITATS CONSERVADOS Y DEGRADADOS EN EL DEPARTAMENTO DE CALDAS., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,",, BIOLOGIA, LINA MARÍA VALENCIA,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," PREFERENCIA ALIMENTARIA Y PATRÓN DE COMPORTAMIENTO DE UN GRUPO DE Aotus griseimembra EN UN FRAGMENTO DE BOSQUE SECO TROPICAL (BST) EN EL MUNICIPIO DE AMBALEMA, TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,",, BIOLOGIA, Emma Yicel Galindo Espinosa,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez, CARACTERIZACIÓN DE LA BIOACUMULACIÓN DE PESTICIDAS EN CULTIVOS DE LIMÓN MEDIANTE CROMATOGRAFÍA DE GASES, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,"," FACULTAD DE CIENCIAS, UNIVERSIDAD DE IBAGUE", ADMINISTRACIÓN AMBIENTAL, Dr. Olimpo Jose Garcia,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," EFECTO DE INCREMENTOS EN LA TEMPERATURA DE INCUBACION SOBRE EL DESARROLLO EMBRIONARIO, CRECIMIENTO Y DESEMPEÑO LOCOMOTOR EN RENACUAJOS DE ANUROS", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD DEL TOLIMA, BIOLOGIA, Dr. Manuel Bernal,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," Evaluación del estado poblacional del Oso Andino (Tremarctos ornatus) como herramienta para su conservación y la gestión del bosque de Galilea, Tolima.", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD DEL TOLIMA, Gestión Ambiental y Evaluación de Impacto Ambiental, Hermes David Juez Pardo,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," COMPOSICIÓN FUNCIONAL Y CRITERIOS DE SELECCIÓN PARA EL ARBOLADO URBANO DE LA COMUNA 3 EN IBAGUÉ, COLOMBIA", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD DEL TOLIMA, INGENIERIA FORESTAL, RAFAEL NÚÑEZ FLÓREZ,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," Incidencia de la radiación UV-B y la hipoxia acuática sobre la toxicidad del herbicida 2,4 D y el insecticida Imidacloprid en anuros", Jurado/Comisiones evaluadoras de trabajo de grado - Doctorado,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD DEL TOLIMA, Doctorado en Ciencias Biológicas, Maria Teofila Triana,Esta información no suele aparecer en los CvLACs,,,
Lida Marcela Franco Pérez," Comportamiento y fisiología Térmica de Anolis huilae (Squamata, Dactyloidae)", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LIDA MARCELA FRANCO PEREZ,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Biológicas, DAVID ALFONSO BEJARANO BONILLA,Esta información no suele aparecer en los CvLACs,,,
Jeferson  Fernando Piamba JIMENEZ," EFECTO DEL CROMO EN LAS PROPIEDADES MAGNÉTICAS Y ESTRUCTURALES DE LAS ALEACIONES Mn57-xAl43Crx (x = 0.51,0.91, 1.51) Y Mn53.3-XAl45C1,7Crx (x = 0.0, 0.5, 1.0, 1.5, 2.0, 2.5)", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"JEFERSON FERNANDO PIAMBA JIMENEZ,", UNIVERSIDAD DEL VALLE, Maestría en Ciencias - Física," Germán Antonio Pérez,",Esta información no suele aparecer en los CvLACs,,,
BILMA ADELA FLORIDO CUELLAR, EVALUACIÓN DEL DESEMPEÑO AMBIENTAL BAJO LA NTC ISO 14031 PARA EL HOTEL DULIMA IBAGUÉ, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BILMA ADELA FLORIDO CUELLAR,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, KAREN JULIANA DÍAZ BARRERO,Esta información no suele aparecer en los CvLACs,,,
BILMA ADELA FLORIDO CUELLAR, DIAGNOSTICO AMBIENTAL PARA LA IMPLEMENTACIÓN DE UN S.G.A. CON LA NTC ISO 14001 PARA LA EMPRESA PROCESOS Y ACABADOS S.A.S. DE LA CIUDAD DE IBAGUE TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BILMA ADELA FLORIDO CUELLAR,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," FELIPE BARRIOS ÑUNGO, DANIEL FERNANDO OSPINA ARIAS",Esta información no suele aparecer en los CvLACs,,,
BILMA ADELA FLORIDO CUELLAR, EVALUACION DE LOS NIVELES DE PRESIÓN SONORA EN CUATRO COMUNAS DE LA CIUDAD DE IBAGUÉ, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"BILMA ADELA FLORIDO CUELLAR,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, JUAN PABLO CORREDOR GRAJALES,Esta información no suele aparecer en los CvLACs,,,
Natalie Charlotte Cortés Rendón, Cultivo In vitro de tejidos vegetales de plantas del género Zephyranthes y evaluación de su producción de alcaloides, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"NATALIE CHARLOTTE CORTES RENDON,", UNIVERSIDAD ICESI, Quimica Farmaceutica,,Esta información no suele aparecer en los CvLACs,"Amaryllidaceae,",,
Natalie Charlotte Cortés Rendón, Síntesis de derivados del ácido-1-oxo-indano-4-carboxílico y evaluación de su efecto elicitor de isoflavonoides bioactivos en soya (Glycine max L), Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"NATALIE CHARLOTTE CORTES RENDON,", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLÍN, MAESTRIA EN CIENCIAS - QUIMICA, Karen Daniela Gómez López,Esta información no suele aparecer en los CvLACs,,,
