Investigador,Nombre del proyecto,Tipo,Inicio,Año de inicio,Duración,Fin,Año de finalización,Resumen,Palabras,Área,Sectores
Yorladys Mayilsen Martínez Aroca,Imaginarios Urbanos - Ibagué imaginada,Tipo de proyecto: Investigación y desarrollo,Febrero 2016,2016,,Noviembre 2018,2018," La investigación se ubica en el contexto de las ciudades imaginadas e indaga sobre las culturas urbanas contemporáneas desde la perspectiva de sus imaginarios sociales, a través de rutinas ciudadanas, es decir, sus formas de habitar la urbe. Esta propuesta se vincula al movimiento académico internacional liderado por el investigador colombiano Armando Silva, de consolidar una perspectiva teórica y metodológica que permita abordar la ciudad desde el punto de vista de las subjetividades anónimas que no se hacen presentes en los tradicionales abordajes que sobre la ciudad realizan los enfoques geográfico y espaciales.",,,
Yorladys Mayilsen Martínez Aroca,Transformación de las prácticas de trato poscosecha de la Guanábana para fortalecer identidad local y comercialización,"Tipo de proyecto: Investigación, desarrollo e Innovación",Enero 2017,2017,,Diciembre 2019,2019," Para conocer las condiciones pos-cosecha y venta de la Guanábana, se inicia un proceso de indagación del contexto y caracterización de los diferentes involucrados, con el objetivo de favorecer una mirada amplia y profunda de la situación problemática. Este abordaje se realizó a partir de la metodología de investigación sistémica, la cual se centra en un primer momento en la comprensión e inmersión en el contexto, indagación de sus múltiples dimensiones social, económico, político y cultural- y las diferentes visiones/perspectivas, de acuerdo a tres cadenas lógicas: manifestaciones, causas y consecuencias. Doña Guanábana surge de un proyecto de investigación-acción que tiene como objetivo la creación de condiciones de posibilidad para transformar prácticas de trato pos-cosecha de la Guanábana que fortalezcan identidad local y comercialización. El proyecto esta siendo realizado en Fresno, Tolima en vínculo con diversas entidades de la Academia, el Estado y la Empresa. Esta articulado al semillero de Diseño Sistémico del Programa de Diseño de la Universidad de Ibagué y lleva un año en desarrollo. Se han aplicado metodologías de pensamiento sistémico correlacionadas con metodologías de diseño centrado en los seres humanos, que han llevado al equipo a realizar lecturas amplias del contexto y, junto con los diversos actores implicados, se han propuesto caminos de respuesta articulados a temas de asociatividad, imaginarios sobre el campo, comercialización y desarrollos tecnológicos concretos. A raíz de la experiencia el abordaje ha comenzado a dialogar más a profundidad con posturas de diseño autónomo y diseño de futuros que han implicado comprender, en la práctica, el proceso y el rol del diseñador de manera más relacional y comunal.",,,
Yorladys Mayilsen Martínez Aroca,Evaluación de la sostenibilidad desde el punto de vista técnico de una agrocadena de suministro de producto fresco orientada al mercado  internacional.  Caso aplicado a la cadena del aguacate Hass originaria en el norte del Tolima,Tipo de proyecto: Investigación y desarrollo,Febrero 2019,2019,,,," Esta investigación se centra en el proceso, desarrollo y validación del modelo de simulación para la evaluación de la sostenibilidad desde el punto de vista técnico adoptando la metodología de simulación como una herramienta de modelado y análisis para abordar los problemas de las cadenas de suministro de alimento en particular de la agrocadena del Aguacate Hass originario del norte del Tolima (CSAT) con el fin de analizar los posibles escenarios que se dan en una (CSA) con propósito de internacionalización y establecer el mejor escenario.",,,
Yorladys Mayilsen Martínez Aroca,"Diseño e implementación, a nivel piloto, de un modelo de gestión de cadena de suministro sustentable para la agrocadena del Aguacate Hass en el norte del Tolima, con el fin de apoyar su proceso de internacionalización",Tipo de proyecto: Investigación y desarrollo,Enero 2018,2018,,Diciembre 2020,2020, Mejorar la eficiencia en los procesos logísticos de la agrocadena del Aguacate Hass en el norte del Tolima apartir del diseño e implementación de un modelo piloto de gestión de cadena de suministro sustentable con el fin de apoyar su proceso de internacionalización,,,
Yorladys Mayilsen Martínez Aroca,Estrategias para la construcción de  formación ciudadana en el contexto del pos-acuerdo en algunas instituciones educativas de la ciudad de Ibagué,Tipo de proyecto: Investigación y desarrollo,Enero 2019,2019,,,," La propuesta de investigación que se presenta a continuación se encuentra enmarcada en el contexto político, social y económico que está atravesando Colombia luego de la firma de los acuerdos en La Habana, dado que este nuevo escenario supone cambios y transformaciones en todas y cada una de las estructuras que han permanecido casi invariables en el país durante más de seis décadas. La necesidad de transformar el tejido social y cultural de la Nación plantea un reto enorme que se debe construir desde la Educación, en tanto que es allí desde donde se deben ajustar los cambios que permitirán incorporar nuevas formas de vivir, expresar, comprender y reflexionar el país. Es importante conocer la historia para evitar repetirla, pero es fundamental también dar un paso hacia adelante para inventar otro futuro en el cual todos quepan y esto supone la integración de nuevos modelos de enseñanza y aprendizaje, orientados a la formación de ciudadanos comprometidos y responsables con su entorno. La presente propuesta de investigación se desarrolla a partir de tres etapas: una documental, una etnográfica y una aplicada; tiene como objetivo principal, identificar y comprender cómo los procesos de lectura y escritura responden a las necesidades de formación ciudadana de los estudiantes, en un contexto de post-acuerdo al interior de algunas instituciones educativas de Ibagué. En primer lugar es necesario hacer una revisión documental del material que desde el gobierno se ha generado con el fin de dar a conocer el acuerdo; en este proceso será fundamental también conocer los textos dirigidos a los colegios, particularmente las cartillas que orientan la Cátedra de paz y dado que el enfoque está orientado a la formación ciudadana, es obligatorio conocer de qué manera se implementan los estándares en ciudadanía y lengua materna que el Ministerio de Educación Nacional entrega a las instituciones educativas. Con la información obtenida será posible construir una base desde donde se pueda contrastar lo que está en el papel, lo que ocurre en el currículo y lo que piensan los miembros de la comunidad educativa. En segundo lugar se realizarán entrevistas a directivos y profesores, y encuestas y, de ser posible, grupos focales con padres de familia, sobre cómo creen ellos que se está implementando en la institución toda la información sobre los acuerdos, cómo se está articulando con los estándares y si consideran que las estrategias pedagógicas y didácticas contribuyen a la formación ciudadana. Estos resultados serán valiosos porque permitirán observar de primera mano, la conexión o desconexión entre lo que sucede y lo que se cree que sucede. Por último, luego de contrastar la información que se obtuvo en las etapas previas, se propone trabajar con los profesores nuevas estrategias para desarrollar la formación ciudadana e integral de los más jóvenes, a partir del diseño e implementación de talleres teórico prácticos, desde los cuales se pueda reflexionar sobre la epistemología, la didáctica y la pedagogía.",,,
Yorladys Mayilsen Martínez Aroca,Ciudades y comunidades imaginadas latinas en la era digital,Tipo de proyecto: Investigación y desarrollo,Abril 2022,2022,,,," ¿Ciudades y comunidades imaginadas latinas en la era digital¿ es una nueva fase del proyecto de investigación ¿Imaginarios urbanos¿ realizado en América del Sur, América Central y España, cuyo objetivo fue captar, desde una antropología del deseo ciudadano, los modos de ser urbanos en distintas ciudades que se estudiaron de modo comparado, inicialmente, entre los años 1998 y 2005, demostrando que su metodología puede ser útil para responder a la comprensión de los fenómenos urbanos contemporáneos sin importar su localidad geográfica. Su objetivo es establecer los vínculos profundos entre percepción colectiva, uso de la ciudad desde la perspectiva ciudadana como base para poder pensar posibles estrategias de construcción de nuevas mentalidades urbanas que nos permitan el reconocimiento mutuo entre conciudadanos y, por tanto, darse una considerable expansión del espacio afectivo entre sujetos de las comunidades. La metodología es creada por Armando Silva, prestigioso investigador colombiano y quien lidera este trabajo. El instituto de Estudios en Comunicación y Cultura ¿ IECO- de la Universidad Nacional de Colombia, a través de su director, el ingeniero Carlos Caicedo, decide darle continuidad al proyecto Imaginarios urbanos estableciendo para esto una alianza con FLACSO sedes Argentina y Ecuador y así desarrollar una nueva fase de las ciudades imaginadas para América Latina aprovechando las tecnologías digitales. Se conforma así un equipo coordinador de esta nueva etapa que se denomina ¿Ciudades y comunidades imaginadas latinas en la era digital¿ (CYCIL) y contará con el estudio en alrededor de 40 ciudades a cargo de grupos locales, entre estas, Ibagué.",,,
Blanca Myriam SALGUERO LONDOÑO,Semillero Manejo Agroecológico como Estrategia de Conservación,Tipo de proyecto: Investigación y desarrollo,Enero 2013,2013, 12,Julio 2018,2018," Se busca generar en los estudiantes la importancia del proceso investigativo a través del planteamiento de proyectos relacionados con la agroecología y conservación del suelo en sistemas de producción agrícola de la región, se investiga en temas relacionados con propiedades biológicas y químicas del suelo principalmente.",,,
Blanca Myriam SALGUERO LONDOÑO,"Cambios en algunas propiedades biológicas del suelo a diferentes profundidades en sistemas cafeteros en Líbano, Tolima.",Tipo de proyecto: Investigación y desarrollo,Enero 2016,2016,,Enero 2017,2017," Mediante este proyecto se evaluaron algunas propiedades biológicas (respiración basal y carbono de la biomasa microbiana) y propiedades químicas (pH, MO, CIC) y su relación en sistemas productivos de café con manejo convencional y con buenas prácticas agrícolas, se muestreo un bosque secundario presente en la zona y se comparó su comportamiento de acuerdo a tres profundidades (30, 60 y 90 cm) en cada unidad muestreada.",,,
Blanca Myriam SALGUERO LONDOÑO,"Evaluación de algunas propiedades biológicas en sistemas productivos de café en Líbano, Tolima",Tipo de proyecto: Investigación y desarrollo,Enero 2015,2015,,Agosto 2017,2017,,,,
Blanca Myriam SALGUERO LONDOÑO,Caracterización de nematodos de vida libre como bioindicadores de calidad y salud de suelos bananeros en Costa Rica,Tipo de proyecto: Investigación-Creación,Enero 2006,2006,,,,,,,
Blanca Myriam SALGUERO LONDOÑO,"""Estructura Agroecológica Principal y determinación de materia orgánica como indicador de calidad del suelo de fincas cafeteras en el departamento del Tolima",Tipo de proyecto: Investigación y desarrollo,Febrero 2019,2019,,,," El proyecto busca determinar las diferencias en cuanto a porcentaje de materia orgánica de suelos de producción agrícola del municipio de Ibagué en cuanto a la altitud del sistema productivo. Además, determinar la estructura agroecológica principal de la finca y sus características en cuanto a manejo.",,,
Blanca Myriam SALGUERO LONDOÑO,Dirección de Instituciones de Educación Superior,Tipo de proyecto: Investigación y desarrollo,Agosto 2016,2016,,Noviembre 2017,2017,,,,
Blanca Myriam SALGUERO LONDOÑO,Dirección de Instituciones de Educación Superior,Tipo de proyecto: Investigación y desarrollo,Agosto 2016,2016,,Noviembre 2017,2017,,,,
Blanca Myriam SALGUERO LONDOÑO,Caracterización química composicional del residuo (tamo) de diferentes variedades de arroz en el municipio de Ibagué,Tipo de proyecto: Investigación y desarrollo,Agosto 2011,2011, 12,Julio 2012,2012, Caracterización química y composicional del residuo de diferentes variedades de arroz provenientes del municipio de Ibagué con la finalidad de encontrar alguna aplicación industrial a esta clase de residuos,,,
Blanca Myriam SALGUERO LONDOÑO,Formulación del plan de manejo de residuos sólidos reciclables en la Universidad de Ibague,Tipo de proyecto: Investigación-Creación,Marzo 2012,2012, 18,Julio 2018,2018," El desarrollo del proyecto permitió establecer el plan de manejo de residuos sólidos de la universidad de Ibagué y consolidar la política de manejo adecuado de residuos en la institución, vinculado diferentes actores.",,,
Blanca Myriam SALGUERO LONDOÑO,"Caracterización de grupos troficos de nematodos de vida libre como Bioindicadores de la calidad y salud del suelo cafeteros en el municipio de Líbano, Tolima",Tipo de proyecto: Investigación y desarrollo,Febrero 2015,2015,,Agosto 2016,2016," El objetivo de la investigación es caracterizar los grupos trófico de nematodos de vida libre y su importancia como bioindicadores de calidad de suelo en plantaciones de café en el municipio del Líbano, Tolima.",,,
