Grupo,Nombre del Evento,Tipo,Lugar,Institución,Participación,Ámbito,Año,Mes,Día,Palabras,Area,Sectores
NATURATU,VII CONGRESO COLOMBIANO DE ORNITOLOGÍA, Congreso ,POPAYÁN, Asociación Colombiana De Ornitología," Organizador , Ponente", Nacional, 2022,08,10 ,,,
NATURATU,Congreso Internacional de Ingeniería Industrial 2021, Congreso ,CIUDAD DE MEXICO, Instituto Tecnológico de Tlalnepantla, Ponente Magistral, Nacional, 2021,12,01 ,,,
NATURATU,"17th International Conference on Optics, Lasers & Photonics", Congreso ,Osaka-shi, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2021,06,26 ,,,
NATURATU,Semana de investigación universitaria SIU 2020, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2020,12,03 ,,,
NATURATU,1º Congreso Internacional de Desarrollo Regional, Congreso ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2020,10,22 ,,,
NATURATU,VIII Congreso Latinoamericano de Plantas Medicinales, Congreso ,Cuenca, Universidad Austral de Chile, Ponente, Internacional, 2020,10,15 ,,,
NATURATU,IV Congreso Nacional de Liquenología del Perú y I Congreso Nacional de Lomas, Congreso ,Lima, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2020,09,18 ,,,
NATURATU,"I Seminario colombiano en Investigación, Manejo productivo y Conservación de Crocodylidos y Quelonios", Seminario ,SINCELEJO, UNIVERSIDAD DE SUCRE, Ponente Magistral, Nacional, 2020,07,10 ,,,
NATURATU,"Reunión Anual Conjunta de las Sociedades de Biología, Botánica, Ecología y Evolución de Chile", Congreso ,Valdivia, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2020,03,11 ,,,
NATURATU,"Reunión Anual Conjunta de las Sociedades de Biología, Botánica, Ecología y Evolución de Chile", Congreso ,Valdivia, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2020,03,11 ,,,
NATURATU,ReBrain International Conference, Congreso ,Valdivia, Universidad Austral de Chile, Ponente, Internacional, 2020,01,22 ,,,
NATURATU,Annual Conference on Magnetism and Magnetic Materials MMM2019, Congreso ,Las Vegas, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2019,11,04 ,,,
NATURATU,XII Congreso Colombiano de Métodos Numéricos, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2019,10,23 ,,,
NATURATU,XII Congreso Colombiano de Métodos Numéricos, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2019,10,23 ,,,
NATURATU,VI CONGRESO COLOMBIANO DE ORNITOLOGÍA, Congreso ,IBAGUÉ, La Asociación Colombiana de Ornitología ACO, Organizador, Nacional, 2019,10,22 ,,,
NATURATU,Congreso Colombiano de Servicios Ecosistémicos, Congreso ,CAJICÁ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2019,10,07 ,,,
