Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISBN,Año,Palabras,Area,Sectores
NATURATU,"Ibagué, entre alas, colores y cantos: Guía de las aves más buscadas", Libro resultado de investigación ," YAIR GUILLERMO MOLINA MARTINEZ, MIGUEL CESAR MORENO PALACIOS",Colombia, Ediciones Unibagué,," 978-958-754-359-9,",2021,,,
NATURATU,"Ibagué, entre alas, colores y cantos. Guía de las aves más buscadas", Libro resultado de investigación ," YAIR GUILLERMO MOLINA MARTINEZ, MIGUEL CESAR MORENO PALACIOS",Colombia, Universidad de Ibagué,," 978-958-754-359-9,",2021,,,
NATURATU,Aportes a la formación integral desde la formación sociohumanística, Libro resultado de investigación ," RICHARD CLAYTON DOUGHMAN III, SANDRA GUTIERREZ ABELLA, EDGAR DELGADO RUBIO, PATRICIA COBA GUTIERREZ, NIDIA CHAPARRO CUERVO",Colombia, Ediciones Unibagué,," 978-958-754-356-8,",2020,,,
NATURATU,"Amoyá, río y quebrada ancestral", Libro resultado de investigación ," GLADYS REINOSO FLORES, FRANCISCO ANTONIO VILLA NAVARRO, GIOVANY GUEVARA CARDONA, SERGIO LOSADA PRADO, JORGE ENRIQUE GARCIA MELO",Colombia, Universidad del Tolima,," 978-958-5569-0,",2019,,,
NATURATU,Ibagué Imaginada, Libro resultado de investigación , YORLADYS MAYILSEN MARTINEZ AROCA,Colombia, Ediciones Unibague,,"  978-958-754-325-4,",2019,,,
NATURATU,"Conservando el Caimán aguja: Plan para su conservación, manejo y uso sostenible en el sector nororiental del departamento del Magdalena", Libro resultado de investigación ," SERGIO ALEJANDRO BALAGUERA REINA, BETTY LORENA CARVAJAL BONILLA, NIDIA FARFAN ARDILA",Colombia, Universidad de Ibagué,," 978-958-754-319-3,",2019,,,
NATURATU,Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera, Libro resultado de investigación ," LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, JORGE ENRIQUE GARCIA MELO",Colombia, Editorial Universidad De Ibague Coruniversitaria,," 9789587541571,",2015,,,
NATURATU,Geometria de uso en arquitectura segunda edicion, Libro resultado de investigación , CARLOS EDUARDO BELTRAN REYES,Colombia, Universidad de Ibagué,," 1794-1997,",2011,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Ibagué imaginada, Libro resultado de investigación ," ANGELA MARIA LOPERA MOLANO, NYDIA MOLANO LUGO, CARLOS MAURICIO SANTANA SAENZ, TATIANA HERNANDEZ CIFUENTES, YORLADYS MAYILSEN MARTINEZ AROCA",Colombia, Ediciones Unibagué,," 978-958-754-324-7,",2019,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Educación superior, ciudadanía y desarrollo", Libro resultado de investigación , ALFONSO REYES ALVARADO,Colombia, Ediciones Unibagué,," 978-958-754-278-3,",2018,,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,El Cultivo de la Verdad, Libro resultado de investigación , RAMSES LEONARDO FUENMAYOR AROCHA,Colombia, Unibagué.,,"  9789587542059,",2016,,,
